id;jobid;campaignid;storeid;storeinstanceid;customerid;phonenumber;scheduledat;sendat;status;message;response;createdat;createdby;updatedat;updatedby
1215;1215;1841;7LQS4KFQH1;6MNH7D05;629;5.511.976.078.129,00;2024-09-04 04:50:00;Não informado;1970-01-01 00:00:00.000000006;Alias voluptatum recusandae est beatae similique ratione totam blanditiis architecto quo officia deleniti nam natus.;Não informado;2024-09-03 09:43:00;Não informado;2024-09-03 16:33:00;Não informado
893;893;1252;SJ62L6NGMG;6MVEUIXS;354;5.521.945.836.715,00;2024-09-04 06:09:00;;1970-01-01 00:00:00.000000004;Reprehenderit quos molestiae exercitationem corporis enim iste reiciendis ex unde molestiae atque labore error quibusdam pariatur.;Aut quae voluptate non illum libero saepe eaque tenetur.;2024-09-04 01:24:00;Não informado;2024-09-04 15:58:00;Não informado
3080;3080;1812;8TQR0FE7ED;VOKU6CMP;335;5.584.922.931.192,00;2024-09-04 08:11:00;Não informado;1970-01-01 00:00:00.000000001;Ipsum dicta distinctio pariatur occaecati optio aut culpa fugiat.;Não informado;2024-09-03 11:12:00;Não informado;2024-09-04 10:19:00;Não informado
3130;3130;1380;V3LWE79PXP;OG30JNZO;874;5.541.911.946.845,00;2024-09-04 08:59:00;;1970-01-01 00:00:00.000000005;Ipsam iste ab repudiandae deleniti necessitatibus alias quis incidunt mollitia mollitia optio necessitatibus.;Não informado;2024-09-03 22:23:00;Não informado;2024-09-05 06:34:00;Não informado
1562;1562;546;A5IH03GC4Z;RE0XGMTI;897;5.511.911.925.919,00;2024-09-04 12:12:00;;1970-01-01 00:00:00.000000002;Quidem temporibus rerum facere natus perferendis expedita ratione.;Accusantium tenetur deleniti aliquid laborum corporis ab fugit.;2024-09-03 15:19:00;Não informado;2024-09-03 17:10:00;Não informado
636;636;1502;RVEVXKNA2L;82SU8EKI;201;5.511.993.454.454,00;2024-09-04 14:52:00;Não informado;1970-01-01 00:00:00.000000001;Maxime praesentium eius esse at labore recusandae numquam alias unde doloremque.;Não informado;2024-09-04 08:09:00;Não informado;2024-09-04 16:30:00;Não informado
486;486;293;L2S1QDW8S9;PMICQC05;681;5.584.963.754.987,00;2024-09-04 14:57:00;Não informado;1970-01-01 00:00:00.000000001;Cupiditate possimus non necessitatibus ut sit aspernatur dolore officia in mollitia dolor quibusdam.;Não informado;2024-09-03 22:48:00;Não informado;2024-09-05 07:21:00;Não informado
3393;3393;1522;LLKSFRH6Z6;EWKY7A2U;215;5.581.907.772.192,00;2024-09-04 15:09:00;;1970-01-01 00:00:00.000000003;Accusamus ad ad doloremque minima nesciunt porro.;Não informado;2024-09-04 11:29:00;Não informado;2024-09-05 07:26:00;Não informado
268;268;247;3QTU6YNCIO;NV2GW1MT;562;5.584.962.899.679,00;2024-09-04 17:29:00;Não informado;1970-01-01 00:00:00.000000001;Vitae dolores natus repellendus quos at tempore saepe iste necessitatibus atque.;Não informado;2024-09-04 06:14:00;Não informado;2024-09-04 22:50:00;Não informado
681;681;228;US9405Y8OS;A40BMG75;682;5.521.995.326.603,00;2024-09-04 17:39:00;Não informado;1970-01-01 00:00:00.000000001;Cum in repellendus et quisquam ab saepe minus.;Nihil fugit sint sit ipsam.;2024-09-04 03:57:00;Não informado;2024-09-04 19:51:00;Não informado
2202;2202;1116;E2NYW2PY36;A90RGHOL;841;5.551.917.411.895,00;2024-09-04 18:13:00;;1970-01-01 00:00:00.000000005;Temporibus commodi dolore ipsum recusandae magnam vero.;Não informado;2024-09-04 10:33:00;Não informado;2024-09-05 03:57:00;Não informado
2253;2253;1268;IA53YBGVY4;THB42D7E;742;5.521.902.645.543,00;2024-09-04 20:02:00;;1970-01-01 00:00:00.000000003;Odio corporis aut ipsa reiciendis numquam ipsa corrupti nostrum voluptate explicabo veniam.;Nesciunt repellendus explicabo magni similique doloribus explicabo repellendus.;2024-09-04 08:32:00;Não informado;2024-09-04 10:30:00;Não informado
2842;2842;1297;JWL2CZOBSV;20QVZGWQ;291;5.584.983.711.247,00;2024-09-04 21:06:00;Não informado;1970-01-01 00:00:00.000000001;Quisquam quidem aliquid dicta ullam tempore delectus nemo.;Não informado;2024-09-04 01:54:00;Não informado;2024-09-04 08:51:00;Não informado
314;314;766;ZWSJ42119F;UCJ862G7;791;5.571.973.901.869,00;2024-09-05 02:24:00;Não informado;1970-01-01 00:00:00.000000006;Non quam error iure architecto occaecati ipsa blanditiis fugiat iure et ipsum ipsa placeat accusantium.;Praesentium doloribus laborum molestias nostrum mollitia vel pariatur repellendus corporis laboriosam.;2024-09-04 22:40:00;Não informado;2024-09-05 19:46:00;Não informado
4003;4003;1497;VZZIYPKML3;8KQMDGXZ;984;5.584.932.821.985,00;2024-09-05 03:58:00;;1970-01-01 00:00:00.000000004;Accusantium dolore odio temporibus in dicta asperiores aliquid perspiciatis quo.;Est doloribus perspiciatis quod perspiciatis laboriosam similique.;2024-09-05 02:34:00;Não informado;2024-09-05 19:23:00;Não informado
2460;2460;234;7FJEOZIU81;2JTPXKLW;826;5.551.986.766.028,00;2024-09-05 11:01:00;Não informado;1970-01-01 00:00:00.000000006;Maxime mollitia dolor reprehenderit officia voluptatem veniam laborum ullam consequuntur.;Não informado;2024-09-05 08:22:00;Não informado;2024-09-05 19:39:00;Não informado
4931;4931;623;YUI2CAODG3;Q285WVNW;315;5.571.979.320.867,00;2024-09-05 11:25:00;;1970-01-01 00:00:00.000000002;Vero nisi ex iusto nam cumque voluptas distinctio.;Não informado;2024-09-05 06:17:00;Não informado;2024-09-05 08:57:00;Não informado
238;238;1076;OXXIYMY8IB;67X3IGEG;762;5.511.973.768.838,00;2024-09-05 13:44:00;;1970-01-01 00:00:00.000000002;Eius cupiditate distinctio itaque quod tempora qui nihil vero aperiam ab omnis ut recusandae labore.;Não informado;2024-09-05 02:26:00;Não informado;2024-09-06 11:34:00;Não informado
3327;3327;767;1HCNJ2ONWU;EFMMSVHT;564;5.541.936.293.121,00;2024-09-05 14:43:00;;1970-01-01 00:00:00.000000005;Nisi laudantium odit in beatae modi ipsam quas sed veniam ipsum ut dolor doloremque earum.;At repellendus maxime suscipit vitae iusto aspernatur placeat quibusdam libero.;2024-09-05 11:06:00;Não informado;2024-09-05 21:14:00;Não informado
4508;4508;1760;SB4196N8W8;KHYH2FPD;602;5.531.968.111.695,00;2024-09-05 15:58:00;Não informado;1970-01-01 00:00:00.000000001;Eveniet dolorem mollitia minima cum voluptatibus iure vitae quo.;Quasi omnis quos neque error dolor alias.;2024-09-05 07:45:00;Não informado;2024-09-05 15:34:00;Não informado
72;72;3;8DTEPIKY82;2U34HCXP;547;5.581.919.297.742,00;2024-09-05 16:22:00;Não informado;1970-01-01 00:00:00.000000006;Voluptas recusandae labore optio molestiae facere est iusto.;Sunt reprehenderit odit tempore sunt vero.;2024-09-05 08:25:00;Não informado;2024-09-05 21:30:00;Não informado
3723;3723;1157;RHXEQIDHOQ;62Z0JE5Z;476;5.571.974.774.714,00;2024-09-05 16:56:00;;1970-01-01 00:00:00.000000002;Esse quas provident autem optio dolorem minus ducimus officia eius quod sed asperiores fugit quia tenetur.;Não informado;2024-09-05 11:17:00;Não informado;2024-09-05 20:14:00;Não informado
1994;1994;1743;ML6UBKVZ80;KBMESTJB;720;5.571.949.962.865,00;2024-09-05 17:56:00;Não informado;1970-01-01 00:00:00.000000001;Eveniet modi labore beatae recusandae veritatis placeat.;Não informado;2024-09-05 10:05:00;Não informado;2024-09-06 14:01:00;Não informado
4199;4199;1352;ERCAFNLJ99;DN7XBDBJ;277;5.584.986.283.592,00;2024-09-05 23:18:00;;1970-01-01 00:00:00.000000002;Earum corrupti consectetur ratione molestias accusantium quia inventore ad cumque.;Não informado;2024-09-05 20:32:00;Não informado;2024-09-07 03:25:00;Não informado
2961;2961;1841;TCXD2BI777;FAZXT5MQ;394;5.584.996.821.403,00;2024-09-06 01:16:00;Não informado;1970-01-01 00:00:00.000000001;Qui unde alias in quo natus nobis iusto commodi eaque quo totam sunt aliquam porro hic.;Não informado;2024-09-06 00:33:00;Não informado;2024-09-06 03:43:00;Não informado
27;27;956;6CJNN5Z37S;PN09I0U7;688;5.571.997.561.265,00;2024-09-06 01:17:00;;1970-01-01 00:00:00.000000002;Voluptate animi magni minima repellat quis adipisci quae amet sequi magnam magnam earum.;Id vitae voluptatem omnis quisquam.;2024-09-05 18:00:00;Não informado;2024-09-07 02:55:00;Não informado
345;345;1841;WQOITQGYGH;F0PY5767;288;5.551.990.563.785,00;2024-09-06 06:14:00;;1970-01-01 00:00:00.000000005;Nemo laudantium rerum consequatur voluptate tempora minus ducimus ab nisi iusto.;Ipsum facilis temporibus animi ex sed quas ea.;2024-09-05 18:39:00;Não informado;2024-09-06 01:46:00;Não informado
796;796;1514;M67RLH4QN2;EUGCCTFW;544;5.551.999.389.997,00;2024-09-06 06:31:00;Não informado;1970-01-01 00:00:00.000000006;Ab itaque eligendi consequuntur corrupti a iure consequuntur.;Não informado;2024-09-06 04:13:00;Não informado;2024-09-06 08:15:00;Não informado
4296;4296;1021;64SQD88YUD;I2LIYWE3;777;5.521.916.849.494,00;2024-09-06 08:04:00;Não informado;1970-01-01 00:00:00.000000001;Nesciunt tenetur adipisci molestiae eum adipisci veniam nostrum repellendus deleniti corporis.;Não informado;2024-09-06 06:30:00;Não informado;2024-09-07 02:26:00;Não informado
4006;4006;555;DU4078RUGE;M8YEAN7T;295;5.584.998.758.354,00;2024-09-06 09:56:00;;1970-01-01 00:00:00.000000003;Perferendis sunt in deleniti architecto quaerat beatae tempora ea facilis quibusdam nisi unde.;Não informado;2024-09-05 10:15:00;Não informado;2024-09-05 15:23:00;Não informado
1477;1477;1119;9DLXDZ1N73;79TM8NBX;902;5.561.939.153.091,00;2024-09-06 12:33:00;;1970-01-01 00:00:00.000000003;Ex esse commodi architecto eaque necessitatibus ipsa quo.;Não informado;2024-09-05 20:38:00;Não informado;2024-09-06 04:12:00;Não informado
3963;3963;753;6OJU958LX2;X0213W8Z;155;5.561.946.619.835,00;2024-09-06 13:20:00;Não informado;1970-01-01 00:00:00.000000001;Voluptas id eveniet iure neque quisquam aspernatur iusto magni consequatur ipsa a tenetur.;Não informado;2024-09-06 12:06:00;Não informado;2024-09-07 09:04:00;Não informado
1060;1060;125;R9IH26R41O;P9CJIDW3;171;5.571.929.705.387,00;2024-09-06 14:14:00;;1970-01-01 00:00:00.000000004;Perferendis iure nesciunt asperiores natus fugiat molestias at dolorem neque.;Não informado;2024-09-05 22:28:00;Não informado;2024-09-07 07:05:00;Não informado
4103;4103;1364;ECAG4H6QY3;FXFVX4T1;314;5.561.959.024.813,00;2024-09-06 23:39:00;;1970-01-01 00:00:00.000000004;Voluptatum labore id magni amet officia quod reiciendis ipsa vel iusto sint excepturi.;Voluptate minus deleniti ducimus nulla.;2024-09-06 13:57:00;Não informado;2024-09-07 19:14:00;Não informado
3367;3367;1286;HH7DCLTFS3;9FC80S84;163;5.511.951.215.359,00;2024-09-07 01:18:00;;1970-01-01 00:00:00.000000002;Nostrum pariatur laborum blanditiis animi suscipit accusamus illo ipsum nisi omnis officia aperiam vel officia.;Não informado;2024-09-06 17:55:00;Não informado;2024-09-07 11:06:00;Não informado
1744;1744;432;71GL4BLA7W;DVYZVBTC;597;5.521.967.202.818,00;2024-09-07 01:40:00;;1970-01-01 00:00:00.000000002;Fuga sunt saepe quae inventore necessitatibus quasi voluptatem.;Pariatur error eligendi velit eveniet.;2024-09-06 03:21:00;Não informado;2024-09-07 08:17:00;Não informado
2393;2393;1045;3X1CDS6LYR;IHO4NAWV;904;5.551.956.053.819,00;2024-09-07 02:06:00;Não informado;1970-01-01 00:00:00.000000001;In nemo aperiam asperiores corrupti mollitia nam corrupti vero minima.;Não informado;2024-09-06 16:49:00;Não informado;2024-09-08 02:05:00;Não informado
2943;2943;653;VPQZ6RISBC;7FIOKHZ4;235;5.541.992.515.514,00;2024-09-07 06:54:00;;1970-01-01 00:00:00.000000003;Eum tenetur reprehenderit dolorum porro labore possimus suscipit doloremque incidunt iure quidem dolorem iste.;Ducimus molestiae deserunt eaque sint et dolor.;2024-09-06 10:32:00;Não informado;2024-09-07 13:38:00;Não informado
1137;1137;257;OYNBRW5PT5;YERA1BJ6;289;5.521.945.574.022,00;2024-09-07 07:17:00;Não informado;1970-01-01 00:00:00.000000006;Aliquid excepturi error temporibus quaerat sed perferendis sint in tempora consequuntur.;Maiores eaque odio in tempore.;2024-09-06 21:46:00;Não informado;2024-09-06 23:11:00;Não informado
2231;2231;225;187WF8LCL9;A7LNCO6Q;59;5.511.913.114.902,00;2024-09-07 07:18:00;Não informado;1970-01-01 00:00:00.000000001;Consequuntur sed expedita porro maxime quis corporis soluta maxime numquam distinctio cumque.;Nostrum nesciunt totam distinctio aperiam architecto culpa quo consequuntur repudiandae blanditiis.;2024-09-06 12:31:00;Não informado;2024-09-06 18:50:00;Não informado
4779;4779;111;C138TKI3AR;HQ2PZAKF;184;5.581.973.706.111,00;2024-09-07 08:27:00;;1970-01-01 00:00:00.000000003;Quibusdam quam impedit exercitationem dolorum deserunt voluptatibus asperiores soluta.;Não informado;2024-09-07 01:14:00;Não informado;2024-09-08 09:29:00;Não informado
4392;4392;632;ZDWOOAL1G9;A6F1J42O;665;5.561.973.704.595,00;2024-09-07 09:15:00;;1970-01-01 00:00:00.000000003;Id at quaerat dolores eius dolore occaecati quis.;Não informado;2024-09-06 14:11:00;Não informado;2024-09-07 21:51:00;Não informado
4559;4559;351;VRTTXUKIBJ;2NZDKG1V;422;5.571.965.835.898,00;2024-09-07 09:26:00;;1970-01-01 00:00:00.000000005;Quibusdam deserunt numquam nemo earum odio vitae in quos assumenda unde hic soluta.;Não informado;2024-09-06 12:43:00;Não informado;2024-09-06 16:19:00;Não informado
4620;4620;764;D34AFTZCOM;AY7V6WTA;890;5.581.916.933.938,00;2024-09-07 11:09:00;;1970-01-01 00:00:00.000000003;Necessitatibus occaecati natus dolor ratione cupiditate tempore deleniti nisi.;Não informado;2024-09-06 21:46:00;Não informado;2024-09-06 23:38:00;Não informado
3604;3604;1608;2CDFU3GUTJ;FICLEUKE;910;5.584.980.118.631,00;2024-09-07 12:39:00;;1970-01-01 00:00:00.000000002;Quidem facere ut perferendis voluptates consequuntur quia esse tempore.;Não informado;2024-09-07 04:38:00;Não informado;2024-09-08 03:52:00;Não informado
1889;1889;1318;WGLV5SUX8E;SN1VE1O5;362;5.561.958.017.402,00;2024-09-07 14:45:00;Não informado;1970-01-01 00:00:00.000000001;Necessitatibus nobis quis provident natus harum unde fuga reiciendis voluptatem harum et.;Hic enim repellendus sed.;2024-09-06 22:16:00;Não informado;2024-09-07 14:25:00;Não informado
2001;2001;140;A3R3AU91AG;AGIY4VUS;607;5.551.961.074.948,00;2024-09-07 16:08:00;;1970-01-01 00:00:00.000000004;Voluptate officiis tempore voluptatibus odio blanditiis vel pariatur rem provident deleniti voluptatem.;Itaque numquam ad aliquam laudantium.;2024-09-07 03:14:00;Não informado;2024-09-07 12:13:00;Não informado
1864;1864;1446;EOF9WB8XY5;P8UELC65;486;5.541.988.560.232,00;2024-09-07 17:05:00;Não informado;1970-01-01 00:00:00.000000006;Libero iure dolorem dolor fuga quam fuga laboriosam ipsum.;Officia dolor expedita esse non nihil veritatis.;2024-09-07 02:49:00;Não informado;2024-09-08 09:10:00;Não informado
1479;1479;540;DFTBJUC3F2;52B3GO5U;659;5.521.943.198.716,00;2024-09-07 21:36:00;;1970-01-01 00:00:00.000000003;Minus ipsam ducimus ratione id voluptas enim sapiente eveniet quaerat sequi ex nemo nemo assumenda.;Soluta pariatur eum alias accusamus dolorum commodi voluptates.;2024-09-07 02:04:00;Não informado;2024-09-08 01:26:00;Não informado
936;936;435;2WAVRK40FC;LN7U5WXT;699;5.584.934.346.831,00;2024-09-07 22:34:00;Não informado;1970-01-01 00:00:00.000000006;Reiciendis perferendis eos pariatur ducimus asperiores debitis laborum quam.;Não informado;2024-09-07 08:40:00;Não informado;2024-09-08 00:48:00;Não informado
4836;4836;1411;4F6FIU5WQF;YJOJ1OJQ;144;5.531.969.539.356,00;2024-09-07 23:18:00;;1970-01-01 00:00:00.000000003;Quibusdam eveniet perferendis veniam tenetur ullam error incidunt quisquam laborum cumque esse sint dolore.;Não informado;2024-09-07 12:28:00;Não informado;2024-09-07 19:24:00;Não informado
4455;4455;179;SNI1BJ3ODT;6AU2016P;965;5.571.963.473.547,00;2024-09-08 00:30:00;;1970-01-01 00:00:00.000000004;Nesciunt optio iure minus voluptatibus fugiat itaque sint excepturi natus.;Voluptates libero sapiente voluptatibus natus dolorem totam tenetur.;2024-09-07 07:59:00;Não informado;2024-09-07 15:04:00;Não informado
3623;3623;1181;BE7KOP7T2K;6XVNE0AH;828;5.584.904.434.274,00;2024-09-08 02:11:00;;1970-01-01 00:00:00.000000005;Voluptatem at accusantium aliquam cumque architecto dolores nulla enim.;Saepe consectetur voluptates ea eligendi recusandae necessitatibus eum.;2024-09-07 19:45:00;Não informado;2024-09-07 23:59:00;Não informado
2147;2147;1105;70YVC4OJ1X;29K3I8QC;136;5.581.941.857.235,00;2024-09-08 05:40:00;Não informado;1970-01-01 00:00:00.000000001;Minima quis ut vitae iusto quam amet.;Velit mollitia laudantium architecto asperiores maxime id.;2024-09-07 18:33:00;Não informado;2024-09-09 01:30:00;Não informado
2644;2644;205;Z6PAHXEQW4;IZ7G7GIA;598;5.551.926.418.033,00;2024-09-08 07:38:00;Não informado;1970-01-01 00:00:00.000000006;Sint facere ipsum ipsa explicabo inventore voluptas eveniet harum nulla dolorum sequi.;Sint nam eaque sunt pariatur ipsa a earum.;2024-09-08 06:10:00;Não informado;2024-09-09 09:01:00;Não informado
220;220;1879;YNH9LD7VIN;SNVK8DQQ;156;5.571.975.241.861,00;2024-09-08 10:39:00;Não informado;1970-01-01 00:00:00.000000006;Quidem quod culpa quibusdam consectetur sed dolore.;Não informado;2024-09-07 14:15:00;Não informado;2024-09-07 14:28:00;Não informado
4483;4483;1279;74027P0IXF;8YDESEUC;269;5.531.900.042.132,00;2024-09-08 10:43:00;;1970-01-01 00:00:00.000000004;Nam quis officia nobis nisi omnis provident quisquam.;Não informado;2024-09-07 23:59:00;Não informado;2024-09-08 03:01:00;Não informado
4742;4742;1253;OK9RGIQWL3;4FITZ1G0;7;5.561.942.476.958,00;2024-09-08 11:21:00;;1970-01-01 00:00:00.000000005;Distinctio accusantium quasi necessitatibus quisquam numquam quo.;Não informado;2024-09-07 15:24:00;Não informado;2024-09-08 04:06:00;Não informado
4648;4648;1915;D6ODCCZEGB;I2X8GK0H;507;5.531.927.998.142,00;2024-09-08 11:55:00;Não informado;1970-01-01 00:00:00.000000006;Cumque magni dignissimos suscipit beatae laudantium autem voluptates ex.;Não informado;2024-09-07 22:46:00;Não informado;2024-09-08 14:09:00;Não informado
1941;1941;1420;SKZYHBHA9A;IQVIJ7S5;512;5.521.966.368.454,00;2024-09-08 12:33:00;Não informado;1970-01-01 00:00:00.000000001;Aspernatur dolor fuga deleniti nostrum autem molestias modi placeat asperiores sapiente tempora quibusdam nihil.;Consectetur omnis beatae recusandae atque eligendi illum dolores accusantium aspernatur nihil.;2024-09-08 08:50:00;Não informado;2024-09-09 10:29:00;Não informado
3689;3689;630;HFCJUSV7Z9;MSY7AZUL;306;5.551.942.080.193,00;2024-09-08 13:24:00;;1970-01-01 00:00:00.000000004;Fugit tenetur explicabo vitae eaque qui eius ab.;Não informado;2024-09-07 16:12:00;Não informado;2024-09-08 16:38:00;Não informado
3740;3740;655;ZBD036HX5F;9AY2UCOY;670;5.521.930.337.429,00;2024-09-08 15:41:00;Não informado;1970-01-01 00:00:00.000000006;Porro et delectus temporibus eligendi dicta vitae.;Não informado;2024-09-08 02:15:00;Não informado;2024-09-08 12:01:00;Não informado
2638;2638;1858;ZTRR3O4KMW;BVAZ035V;302;5.531.951.302.208,00;2024-09-08 18:21:00;;1970-01-01 00:00:00.000000003;Omnis numquam quaerat quibusdam dolor provident tempora illum sequi.;Não informado;2024-09-08 04:25:00;Não informado;2024-09-08 18:44:00;Não informado
2271;2271;1946;PW7M94YQW5;SLR91UQN;388;5.511.982.110.992,00;2024-09-08 18:52:00;;1970-01-01 00:00:00.000000005;Veritatis alias aperiam laboriosam sint quidem recusandae aperiam consequuntur nesciunt ipsam dolor earum quod earum.;Não informado;2024-09-08 09:37:00;Não informado;2024-09-09 13:52:00;Não informado
3863;3863;807;27W90Q8JYL;EI3GSOYD;364;5.541.901.285.453,00;2024-09-08 19:59:00;;1970-01-01 00:00:00.000000003;Eos qui a sunt voluptas in quisquam expedita deleniti nesciunt.;Não informado;2024-09-08 01:42:00;Não informado;2024-09-08 19:14:00;Não informado
428;428;1958;S1LKA7K310;XZCH3SFT;774;5.541.986.785.211,00;2024-09-09 01:06:00;Não informado;1970-01-01 00:00:00.000000001;Corrupti sapiente sit sit atque maiores ea voluptatibus est impedit nihil ducimus dolores officiis ab.;Cum non ea hic consectetur.;2024-09-08 08:02:00;Não informado;2024-09-08 23:48:00;Não informado
1252;1252;638;J4HX0HD411;PJQNUI1O;910;5.584.980.118.631,00;2024-09-09 03:33:00;Não informado;1970-01-01 00:00:00.000000006;Harum occaecati dolorum quae optio consectetur modi et sit ducimus facilis quidem.;Não informado;2024-09-08 10:18:00;Não informado;2024-09-09 02:11:00;Não informado
4142;4142;210;GXZPR2KK07;S6TBXK6W;470;5.551.997.848.144,00;2024-09-09 07:58:00;;1970-01-01 00:00:00.000000005;Sequi expedita sed ab ad laboriosam veniam error laboriosam.;Ut distinctio nesciunt magni eaque suscipit dolore eum sunt.;2024-09-08 20:14:00;Não informado;2024-09-09 08:44:00;Não informado
448;448;861;4UAOLK6ALT;ZON6IR53;998;5.541.904.798.634,00;2024-09-09 09:19:00;Não informado;1970-01-01 00:00:00.000000001;Accusantium veritatis quibusdam necessitatibus ea tempore veritatis est excepturi expedita omnis provident quia quo.;Não informado;2024-09-09 08:39:00;Não informado;2024-09-09 18:56:00;Não informado
2600;2600;1083;B6AP3K42OR;E6UYPK1K;658;5.551.956.463.096,00;2024-09-09 10:09:00;Não informado;1970-01-01 00:00:00.000000001;Vel earum dolore dicta repellendus minima alias dolorem enim doloremque.;Pariatur commodi impedit fugiat mollitia ab debitis nesciunt suscipit odio.;2024-09-08 14:00:00;Não informado;2024-09-08 20:52:00;Não informado
4985;4985;1144;3K95HS580P;OIH0CK0Y;270;5.511.935.514.864,00;2024-09-09 10:39:00;Não informado;1970-01-01 00:00:00.000000006;Quos expedita nulla incidunt mollitia ea debitis velit perspiciatis facere fugit debitis vero eligendi delectus consectetur.;Repellendus debitis ullam perferendis ex voluptas amet hic quaerat amet.;2024-09-08 19:16:00;Não informado;2024-09-08 21:20:00;Não informado
620;620;455;I8C8UA8TXL;6SN8KQXI;711;5.531.993.164.299,00;2024-09-09 10:54:00;Não informado;1970-01-01 00:00:00.000000001;Soluta provident quo ab asperiores ea accusantium harum deleniti tenetur in omnis voluptatum placeat distinctio sunt.;Não informado;2024-09-08 12:37:00;Não informado;2024-09-08 12:38:00;Não informado
